NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_016E,S1501_C01_017E,S1501_C01_018E,S1501_C01_019E,S1501_C01_020E,S1501_C01_021E,S1501_C01_022E,state,county,tract
"Census Tract 140, Allen County, Ohio",273,116,110,47,0,2304,44,67,812,492,283,403,203,2193,606,505,505,129,280,280,93,743,39,3,014000
"Census Tract 141, Allen County, Ohio",149,6,139,4,0,1026,109,132,369,216,135,8,57,785,65,110,68,11,222,202,19,477,39,3,014100
"Census Tract 9701.01, Ashland County, Ohio",237,150,68,19,0,1779,161,146,753,363,173,105,78,1472,183,367,263,54,156,105,0,790,39,5,970101
"Census Tract 9701.02, Ashland County, Ohio",501,50,204,202,45,3969,36,137,2001,608,261,666,260,3796,926,530,489,118,590,578,122,1835,39,5,970102
"Census Tract 9702, Ashland County, Ohio",502,45,258,177,22,4178,277,248,1912,693,377,416,255,3653,671,436,328,30,969,843,203,1802,39,5,970200
"Census Tract 9703, Ashland County, Ohio",275,73,119,74,9,2729,73,276,937,755,137,323,228,2380,551,459,425,125,477,467,84,1114,39,5,970300
"Census Tract 9704, Ashland County, Ohio",288,33,105,142,8,2078,64,349,1191,165,125,123,61,1665,184,403,299,58,358,327,30,834,39,5,970400
"Census Tract 9705, Ashland County, Ohio",450,43,65,324,18,2142,119,135,893,291,168,469,67,1888,536,750,704,307,305,278,42,630,39,5,970500
"Census Tract 9706, Ashland County, Ohio",1852,60,465,1318,9,2581,23,104,979,585,190,409,291,2454,700,403,375,132,560,560,198,930,39,5,970600
"Census Tract 9707, Ashland County, Ohio",372,59,155,158,0,3611,11,127,1312,569,215,903,474,3473,1377,321,302,97,548,528,245,1315,39,5,970700
"Census Tract 9708, Ashland County, Ohio",227,25,128,60,14,2949,28,202,1016,596,173,587,347,2719,934,729,711,284,455,415,181,875,39,5,970800
"Census Tract 9709, Ashland County, Ohio",401,69,92,192,48,3147,143,112,1423,460,319,430,260,2892,690,396,301,56,379,358,58,1456,39,5,970900
"Census Tract 9710, Ashland County, Ohio",447,55,284,87,21,3892,93,345,1647,872,241,443,251,3454,694,729,641,105,564,530,135,1448,39,5,971000
"Census Tract 9711, Ashland County, Ohio",288,43,66,164,15,2629,78,245,1145,558,203,261,139,2306,400,381,346,125,386,316,55,1050,39,5,971100
"Census Tract 1.01, Ashtabula County, Ohio",367,92,202,73,0,3801,71,436,1780,728,276,433,77,3294,510,730,601,63,768,667,140,1391,39,7,000101
"Census Tract 1.02, Ashtabula County, Ohio",52,11,41,0,0,2471,44,327,1170,457,209,140,124,2100,264,400,340,9,406,367,22,1100,39,7,000102
"Census Tract 1.03, Ashtabula County, Ohio",386,147,193,46,0,2152,68,124,994,518,123,203,122,1960,325,482,482,83,315,286,87,847,39,7,000103
"Census Tract 2, Ashtabula County, Ohio",319,34,178,99,8,3165,55,273,1206,758,208,443,222,2837,665,290,268,41,408,397,117,1350,39,7,000200
"Census Tract 3, Ashtabula County, Ohio",125,13,25,80,7,1516,42,92,757,237,149,167,72,1382,239,229,216,48,289,269,26,508,39,7,000300
"Census Tract 4, Ashtabula County, Ohio",178,69,52,51,6,1153,68,130,520,210,88,108,29,955,137,182,128,6,152,125,49,414,39,7,000400
