NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_016E,S1501_C01_017E,S1501_C01_018E,S1501_C01_019E,S1501_C01_020E,S1501_C01_021E,S1501_C01_022E,state,county,tract
"Census Tract 1531.03, Cuyahoga County, Ohio",114,3,60,46,5,1756,19,21,453,316,197,472,278,1716,750,260,260,138,308,295,185,580,39,35,153103
"Census Tract 1531.04, Cuyahoga County, Ohio",383,104,67,212,0,2017,22,70,523,543,138,550,171,1925,721,525,503,243,378,350,160,708,39,35,153104
"Census Tract 1531.05, Cuyahoga County, Ohio",429,46,120,199,64,2320,31,117,574,543,220,617,218,2172,835,542,519,273,388,373,158,804,39,35,153105
"Census Tract 1531.06, Cuyahoga County, Ohio",295,34,10,117,134,2767,15,90,664,488,199,774,537,2662,1311,683,676,355,454,447,325,901,39,35,153106
"Census Tract 1531.07, Cuyahoga County, Ohio",189,0,16,111,62,2781,19,49,461,465,323,961,503,2713,1464,502,493,309,378,372,325,1118,39,35,153107
"Census Tract 1541, Cuyahoga County, Ohio",131,30,29,72,0,1394,36,179,529,334,104,154,58,1179,212,273,259,62,250,197,39,688,39,35,154100
"Census Tract 1542, Cuyahoga County, Ohio",105,45,28,23,9,944,2,61,416,244,33,134,54,881,188,207,207,60,134,134,11,391,39,35,154200
"Census Tract 1544, Cuyahoga County, Ohio",125,16,9,92,8,1840,16,245,829,277,142,115,216,1579,331,144,110,20,505,441,73,738,39,35,154400
"Census Tract 1545.01, Cuyahoga County, Ohio",266,31,165,70,0,2285,40,162,986,630,149,206,112,2083,318,379,351,156,301,301,46,854,39,35,154501
"Census Tract 1545.02, Cuyahoga County, Ohio",309,0,67,222,20,2068,26,263,584,507,369,213,106,1779,319,183,183,45,297,270,68,1122,39,35,154502
"Census Tract 1546.01, Cuyahoga County, Ohio",465,31,172,189,73,3325,151,239,1563,671,276,239,186,2935,425,875,785,191,682,573,92,1037,39,35,154601
"Census Tract 1546.03, Cuyahoga County, Ohio",271,77,40,139,15,1923,20,123,794,398,337,169,82,1780,251,465,447,95,389,377,75,739,39,35,154603
"Census Tract 1546.04, Cuyahoga County, Ohio",538,50,175,313,0,2357,53,88,880,613,326,261,136,2216,397,388,388,70,516,502,68,931,39,35,154604
"Census Tract 1551.01, Cuyahoga County, Ohio",412,64,146,73,129,3871,64,42,762,333,365,1240,1065,3765,2305,216,203,131,633,611,517,1572,39,35,155101
"Census Tract 1551.02, Cuyahoga County, Ohio",168,10,35,89,34,2228,0,57,456,427,147,556,585,2171,1141,246,233,197,408,408,213,913,39,35,155102
"Census Tract 1561.01, Cuyahoga County, Ohio",64,10,10,28,16,1083,0,49,239,219,69,257,250,1034,507,174,174,161,130,121,86,418,39,35,156101
"Census Tract 1561.02, Cuyahoga County, Ohio",525,14,164,236,111,4180,0,46,1237,887,144,1098,768,4134,1866,297,297,267,670,670,397,1908,39,35,156102
"Census Tract 1601, Cuyahoga County, Ohio",70,0,7,7,56,1297,0,17,123,198,32,513,414,1280,927,359,359,288,202,202,157,447,39,35,160100
"Census Tract 1602, Cuyahoga County, Ohio",103,28,15,12,48,1756,0,48,344,300,48,631,385,1708,1016,772,765,550,246,246,166,633,39,35,160200
"Census Tract 1603, Cuyahoga County, Ohio",98,14,18,32,34,1292,0,44,148,251,65,411,373,1248,784,349,349,249,242,229,158,506,39,35,160300
"Census Tract 1604, Cuyahoga County, Ohio",375,0,63,199,113,2247,48,61,332,426,161,821,398,2138,1219,821,810,585,379,379,188,647,39,35,160400
"Census Tract 1605, Cuyahoga County, Ohio",250,0,46,146,58,3179,29,71,807,690,150,900,532,3079,1432,757,757,463,347,340,193,882,39,35,160500
"Census Tract 1606.02, Cuyahoga County, Ohio",385,169,66,80,70,2217,55,15,454,561,256,576,300,2147,876,1016,1016,460,518,518,209,513,39,35,160602
"Census Tract 1606.03, Cuyahoga County, Ohio",139,0,0,64,75,1256,0,19,138,596,58,347,98,1237,445,709,709,343,159,159,0,241,39,35,160603
"Census Tract 1606.04, Cuyahoga County, Ohio",224,0,42,29,153,3150,15,0,461,532,192,1214,736,3135,1950,1330,1330,1211,303,288,107,753,39,35,160604
"Census Tract 1609, Cuyahoga County, Ohio",195,42,17,64,72,2585,99,144,405,413,236,744,544,2342,1288,665,641,469,570,510,247,885,39,35,160900
"Census Tract 1610, Cuyahoga County, Ohio",154,10,46,59,39,1263,4,10,181,224,78,476,290,1249,766,517,503,383,253,253,189,370,39,35,161000
"Census Tract 1611, Cuyahoga County, Ohio",235,41,54,115,25,2362,34,26,400,551,148,779,424,2302,1203,738,738,483,502,502,359,706,39,35,161100
"Census Tract 1612, Cuyahoga County, Ohio",149,48,18,46,37,2057,116,57,289,347,241,659,348,1884,1007,679,671,312,356,338,228,710,39,35,161200
"Census Tract 1613, Cuyahoga County, Ohio",238,30,32,122,54,2002,25,70,377,424,204,582,320,1907,902,497,497,228,499,472,255,584,39,35,161300
"Census Tract 1614, Cuyahoga County, Ohio",239,0,109,87,43,2412,93,172,635,460,164,657,231,2147,888,1000,951,558,349,263,134,686,39,35,161400
"Census Tract 1615, Cuyahoga County, Ohio",451,7,172,195,77,2622,9,208,513,476,169,806,441,2405,1247,937,913,532,482,445,313,730,39,35,161500
"Census Tract 1616, Cuyahoga County, Ohio",138,23,32,39,44,1512,60,70,396,353,123,316,194,1382,510,393,390,205,259,256,127,544,39,35,161600
"Census Tract 1619, Cuyahoga County, Ohio",409,11,7,117,274,1855,28,61,235,411,103,678,339,1766,1017,936,889,545,250,250,161,495,39,35,161900
"Census Tract 1701.01, Cuyahoga County, Ohio",147,36,32,57,22,2329,9,27,598,572,116,582,425,2293,1007,449,429,172,242,242,152,790,39,35,170101
"Census Tract 1701.02, Cuyahoga County, Ohio",208,50,40,28,90,3253,14,2,513,698,238,1246,542,3237,1788,686,684,418,719,719,457,1141,39,35,170102
"Census Tract 1702.01, Cuyahoga County, Ohio",134,11,39,84,0,1769,25,82,289,287,181,430,475,1662,905,143,143,107,208,208,129,503,39,35,170201
"Census Tract 1702.02, Cuyahoga County, Ohio",190,13,85,36,56,3250,58,45,562,582,245,1087,671,3147,1758,623,613,424,317,317,242,1000,39,35,170202
"Census Tract 1711.02, Cuyahoga County, Ohio",290,0,85,0,205,3002,0,380,641,1141,381,309,150,2622,459,494,399,87,423,382,115,1419,39,35,171102
"Census Tract 1711.03, Cuyahoga County, Ohio",268,14,122,132,0,2065,27,188,747,537,244,241,81,1850,322,312,245,13,306,290,78,1031,39,35,171103
"Census Tract 1711.04, Cuyahoga County, Ohio",337,75,116,77,69,3121,25,138,1435,976,288,140,119,2958,259,791,731,23,417,388,9,1331,39,35,171104
"Census Tract 1712.03, Cuyahoga County, Ohio",166,4,88,74,0,2354,17,261,955,625,220,230,46,2076,276,378,370,132,539,517,0,1099,39,35,171203
"Census Tract 1712.04, Cuyahoga County, Ohio",310,19,137,143,11,1269,0,66,645,263,130,131,34,1203,165,176,176,47,283,269,15,542,39,35,171204
"Census Tract 1712.05, Cuyahoga County, Ohio",85,0,55,13,17,2154,79,158,990,355,257,248,67,1917,315,600,515,155,170,170,22,773,39,35,171205
"Census Tract 1712.06, Cuyahoga County, Ohio",371,0,167,204,0,1400,4,89,542,394,133,185,53,1307,238,146,146,48,301,297,58,558,39,35,171206
"Census Tract 1721.01, Cuyahoga County, Ohio",131,13,73,38,7,1710,61,63,470,425,127,425,139,1586,564,336,335,159,335,332,71,583,39,35,172101
"Census Tract 1721.02, Cuyahoga County, Ohio",163,11,52,62,38,2338,47,73,789,570,140,469,250,2218,719,377,360,252,380,362,134,914,39,35,172102
"Census Tract 1721.04, Cuyahoga County, Ohio",61,32,11,18,0,1176,37,0,277,177,18,502,165,1139,667,273,273,161,420,408,284,297,39,35,172104
"Census Tract 1721.05, Cuyahoga County, Ohio",173,0,0,0,173,2920,164,135,961,326,175,600,559,2621,1159,673,673,542,592,557,119,443,39,35,172105
"Census Tract 1722.01, Cuyahoga County, Ohio",226,18,41,135,32,2524,124,94,731,696,195,423,261,2306,684,286,260,147,711,687,305,723,39,35,172201
"Census Tract 1722.02, Cuyahoga County, Ohio",237,33,59,64,81,3267,49,103,704,526,350,1016,519,3115,1535,1310,1240,598,386,373,118,679,39,35,172202
"Census Tract 1731.03, Cuyahoga County, Ohio",187,27,49,87,24,2122,44,158,563,408,285,473,191,1920,664,124,124,94,361,353,95,931,39,35,173103
"Census Tract 1731.04, Cuyahoga County, Ohio",184,13,56,115,0,3365,58,163,882,889,365,574,434,3144,1008,447,447,200,380,380,125,1337,39,35,173104
"Census Tract 1731.05, Cuyahoga County, Ohio",106,0,40,44,22,1685,104,107,390,394,136,321,233,1474,554,184,177,127,139,139,70,679,39,35,173105
"Census Tract 1731.06, Cuyahoga County, Ohio",276,6,64,155,51,2758,68,94,506,411,102,924,653,2596,1577,679,653,563,823,799,636,773,39,35,173106
"Census Tract 1731.07, Cuyahoga County, Ohio",57,0,38,6,13,2086,15,198,728,418,111,393,223,1873,616,291,278,122,335,335,199,770,39,35,173107
"Census Tract 1741.03, Cuyahoga County, Ohio",293,59,131,39,64,1891,93,112,650,400,137,335,164,1686,499,163,136,64,252,230,69,825,39,35,174103
"Census Tract 1741.04, Cuyahoga County, Ohio",181,15,46,58,62,1780,96,72,642,299,155,311,205,1612,516,172,142,91,208,160,75,704,39,35,174104
"Census Tract 1741.05, Cuyahoga County, Ohio",313,47,18,193,55,1883,43,35,532,317,162,503,291,1805,794,210,202,105,284,284,158,782,39,35,174105
"Census Tract 1741.06, Cuyahoga County, Ohio",105,0,8,67,30,2068,44,68,440,481,283,535,217,1956,752,396,379,176,433,386,185,741,39,35,174106
"Census Tract 1741.07, Cuyahoga County, Ohio",299,30,24,197,48,2661,23,69,797,622,268,636,246,2569,882,458,458,182,326,310,123,1203,39,35,174107
"Census Tract 1742.03, Cuyahoga County, Ohio",191,30,50,81,30,2000,14,34,672,445,148,464,223,1952,687,190,190,41,249,249,120,780,39,35,174203
"Census Tract 1742.04, Cuyahoga County, Ohio",181,31,58,76,16,2668,63,143,736,814,248,396,268,2462,664,478,478,200,398,373,106,1177,39,35,174204
"Census Tract 1742.05, Cuyahoga County, Ohio",510,97,153,229,31,3506,110,117,935,527,367,888,562,3279,1450,693,693,276,444,408,246,1738,39,35,174205
"Census Tract 1742.06, Cuyahoga County, Ohio",141,22,25,66,28,1867,18,59,739,529,220,206,96,1790,302,494,476,93,369,369,83,738,39,35,174206
"Census Tract 1742.07, Cuyahoga County, Ohio",248,61,116,61,10,2217,85,91,696,651,153,344,197,2041,541,356,306,105,340,319,94,769,39,35,174207
"Census Tract 1751.05, Cuyahoga County, Ohio",321,28,33,187,73,3352,71,69,667,771,467,807,500,3212,1307,381,381,246,670,664,286,1429,39,35,175105
"Census Tract 1751.06, Cuyahoga County, Ohio",216,20,53,94,49,1985,17,48,448,333,199,648,292,1920,940,315,310,208,266,266,192,937,39,35,175106
"Census Tract 1751.07, Cuyahoga County, Ohio",209,14,79,86,30,2514,58,39,563,602,233,699,320,2417,1019,323,323,236,425,425,217,1176,39,35,175107
"Census Tract 1751.08, Cuyahoga County, Ohio",273,0,77,113,83,2053,37,84,529,351,224,633,195,1932,828,893,867,533,219,219,167,338,39,35,175108
"Census Tract 1751.09, Cuyahoga County, Ohio",61,0,0,61,0,1876,51,120,637,242,88,472,266,1705,738,327,309,201,231,228,63,504,39,35,175109
"Census Tract 1751.10, Cuyahoga County, Ohio",669,8,194,312,155,3328,76,36,979,758,230,807,442,3216,1249,1022,977,456,521,519,318,1021,39,35,175110
"Census Tract 1752.01, Cuyahoga County, Ohio",667,50,242,262,113,4461,107,122,1043,984,436,1021,748,4232,1769,736,720,383,634,634,297,2093,39,35,175201
"Census Tract 1752.02, Cuyahoga County, Ohio",191,38,34,112,7,2446,36,146,781,512,226,413,332,2264,745,443,391,147,244,232,117,1105,39,35,175202
"Census Tract 1761, Cuyahoga County, Ohio",163,5,64,66,28,1792,0,76,593,330,139,366,288,1716,654,196,196,107,295,295,179,723,39,35,176100
"Census Tract 1762, Cuyahoga County, Ohio",272,39,66,128,39,4143,0,46,1191,1055,437,885,529,4097,1414,822,822,391,662,662,208,1719,39,35,176200
"Census Tract 1771.01, Cuyahoga County, Ohio",542,10,229,269,34,3425,121,167,1207,983,401,380,166,3137,546,1142,1131,247,475,454,63,1064,39,35,177101
"Census Tract 1771.03, Cuyahoga County, Ohio",514,66,216,186,46,3219,32,122,1532,595,264,494,180,3065,674,659,634,178,541,511,63,1234,39,35,177103
"Census Tract 1771.04, Cuyahoga County, Ohio",316,97,102,78,39,2140,12,144,885,502,136,290,171,1984,461,487,441,186,302,280,102,753,39,35,177104
"Census Tract 1772.01, Cuyahoga County, Ohio",294,1,165,121,7,2571,209,116,1022,661,210,320,33,2246,353,468,461,136,510,422,44,1140,39,35,177201
"Census Tract 1772.02, Cuyahoga County, Ohio",232,12,54,129,37,2023,57,133,809,607,118,193,106,1833,299,533,520,119,415,381,100,656,39,35,177202
"Census Tract 1773.02, Cuyahoga County, Ohio",110,34,33,43,0,1858,67,118,768,397,108,296,104,1673,400,278,272,86,306,287,153,701,39,35,177302
"Census Tract 1773.03, Cuyahoga County, Ohio",342,63,135,90,54,3589,100,195,1290,915,286,537,266,3294,803,852,697,151,382,378,86,1497,39,35,177303
"Census Tract 1773.04, Cuyahoga County, Ohio",425,116,97,135,77,2426,39,276,734,592,218,436,131,2111,567,549,474,185,450,406,116,732,39,35,177304
"Census Tract 1774.04, Cuyahoga County, Ohio",199,48,96,37,18,2321,125,178,649,281,318,565,205,2018,770,643,601,365,494,436,170,647,39,35,177404
"Census Tract 1774.05, Cuyahoga County, Ohio",355,117,125,82,31,3350,66,84,1228,881,272,644,175,3200,819,939,930,347,476,476,137,1220,39,35,177405
"Census Tract 1774.06, Cuyahoga County, Ohio",262,30,142,80,10,2591,104,105,795,733,218,476,160,2382,636,606,529,115,441,424,225,1117,39,35,177406
"Census Tract 1775.01, Cuyahoga County, Ohio",281,11,113,83,74,3119,68,155,1225,614,433,476,148,2896,624,600,590,168,494,412,70,1143,39,35,177501
"Census Tract 1775.03, Cuyahoga County, Ohio",181,20,41,93,27,2633,71,170,769,736,228,481,178,2392,659,268,240,116,319,279,68,1160,39,35,177503
"Census Tract 1775.04, Cuyahoga County, Ohio",188,17,118,53,0,2963,128,205,1163,720,331,310,106,2630,416,481,481,105,572,515,159,958,39,35,177504
"Census Tract 1775.05, Cuyahoga County, Ohio",354,38,138,115,63,3102,95,118,1007,554,354,566,408,2889,974,441,422,268,318,318,121,1299,39,35,177505
"Census Tract 1776.04, Cuyahoga County, Ohio",155,7,44,92,12,1469,52,119,559,344,114,213,68,1298,281,271,241,91,199,188,40,623,39,35,177604
"Census Tract 1776.05, Cuyahoga County, Ohio",214,25,146,43,0,1953,29,51,778,443,145,313,194,1873,507,273,273,128,296,275,108,775,39,35,177605
"Census Tract 1776.06, Cuyahoga County, Ohio",225,19,68,108,30,2792,215,147,897,717,240,388,188,2430,576,426,415,157,420,390,123,757,39,35,177606
"Census Tract 1776.07, Cuyahoga County, Ohio",377,6,215,123,33,2867,116,214,809,583,399,515,231,2537,746,552,516,146,282,259,149,1210,39,35,177607
"Census Tract 1776.08, Cuyahoga County, Ohio",929,183,417,294,35,4009,101,61,1198,764,679,630,576,3847,1206,713,713,348,565,564,158,1642,39,35,177608
"Census Tract 1776.09, Cuyahoga County, Ohio",88,0,11,77,0,1458,39,43,435,374,95,293,179,1376,472,172,172,94,188,184,58,484,39,35,177609
"Census Tract 1781.01, Cuyahoga County, Ohio",221,16,77,128,0,1979,51,88,671,572,203,318,76,1840,394,406,397,99,227,208,68,701,39,35,178101
"Census Tract 1781.02, Cuyahoga County, Ohio",223,0,103,93,27,3102,30,157,637,750,402,748,378,2915,1126,892,876,351,723,706,348,845,39,35,178102
"Census Tract 1782.01, Cuyahoga County, Ohio",283,19,120,59,85,2364,10,121,837,642,219,437,98,2233,535,483,467,153,316,285,60,941,39,35,178201
"Census Tract 1782.04, Cuyahoga County, Ohio",474,62,163,207,42,3434,123,250,1626,497,336,345,257,3061,602,829,829,97,483,470,45,1195,39,35,178204
"Census Tract 1782.05, Cuyahoga County, Ohio",122,21,40,42,19,1421,47,52,482,317,144,277,102,1322,379,255,247,71,184,170,61,556,39,35,178205
"Census Tract 1782.06, Cuyahoga County, Ohio",146,17,46,83,0,2011,60,237,611,376,210,393,124,1714,517,279,269,131,229,203,59,739,39,35,178206
"Census Tract 1791.01, Cuyahoga County, Ohio",372,11,157,146,58,2539,9,14,192,373,58,777,1116,2516,1893,182,182,113,321,321,293,1088,39,35,179101
"Census Tract 1791.02, Cuyahoga County, Ohio",57,5,24,4,24,1838,10,13,68,183,92,574,898,1815,1472,269,259,176,287,287,287,750,39,35,179102
"Census Tract 1801.02, Cuyahoga County, Ohio",270,10,165,81,14,3129,17,104,903,486,227,621,771,3008,1392,418,418,183,324,294,221,1242,39,35,180102
"Census Tract 1801.03, Cuyahoga County, Ohio",317,93,112,90,22,2485,46,101,645,486,178,629,400,2338,1029,313,313,98,297,264,206,1057,39,35,180103
"Census Tract 1801.04, Cuyahoga County, Ohio",397,88,178,26,105,1954,38,162,715,536,190,266,47,1754,313,478,455,85,382,372,46,525,39,35,180104
"Census Tract 1811, Cuyahoga County, Ohio",161,19,0,101,41,4723,0,16,463,631,143,1533,1937,4707,3470,751,751,555,750,750,698,1829,39,35,181100
"Census Tract 1812.01, Cuyahoga County, Ohio",340,12,118,101,109,4398,72,172,792,558,356,1217,1231,4154,2448,700,667,478,502,502,355,1443,39,35,181201
"Census Tract 1812.03, Cuyahoga County, Ohio",155,5,55,61,34,1951,7,0,269,288,178,667,542,1944,1209,259,259,210,371,371,314,785,39,35,181203
"Census Tract 1812.04, Cuyahoga County, Ohio",238,0,5,122,111,3498,0,32,659,492,247,1174,894,3466,2068,663,663,428,582,582,493,1166,39,35,181204
"Census Tract 1821.03, Cuyahoga County, Ohio",177,22,52,43,60,1932,22,46,622,313,182,556,191,1864,747,399,399,252,210,210,101,743,39,35,182103
"Census Tract 1821.04, Cuyahoga County, Ohio",149,19,81,21,28,2022,69,19,594,361,155,485,339,1934,824,360,353,204,326,326,160,717,39,35,182104
"Census Tract 1821.05, Cuyahoga County, Ohio",221,7,105,69,40,2700,0,67,731,684,289,689,240,2633,929,491,491,185,328,328,200,1048,39,35,182105
"Census Tract 1821.06, Cuyahoga County, Ohio",169,31,44,68,26,2541,74,70,876,538,233,518,232,2397,750,250,250,131,272,261,129,1090,39,35,182106
"Census Tract 1831, Cuyahoga County, Ohio",145,0,5,106,34,2113,0,24,203,255,226,581,824,2089,1405,567,553,384,458,458,277,655,39,35,183100
"Census Tract 1832, Cuyahoga County, Ohio",92,6,11,57,18,1703,0,16,28,125,38,560,936,1687,1496,77,77,52,339,333,325,728,39,35,183200
"Census Tract 1833, Cuyahoga County, Ohio",116,43,15,12,46,2758,17,6,154,153,50,744,1634,2735,2378,322,310,264,538,538,465,1049,39,35,183300
"Census Tract 1834.01, Cuyahoga County, Ohio",56,16,8,20,12,1228,4,31,101,80,86,351,575,1193,926,178,176,79,331,298,282,461,39,35,183401
"Census Tract 1774.03, Cuyahoga County, Ohio",329,7,152,117,53,1954,48,95,910,329,178,272,122,1811,394,326,326,124,444,408,112,836,39,35,177403
"Census Tract 1834.02, Cuyahoga County, Ohio",167,0,0,161,6,1118,0,51,141,208,99,322,297,1067,619,105,105,56,308,308,173,435,39,35,183402
"Census Tract 1835.01, Cuyahoga County, Ohio",407,0,302,54,51,2149,1,13,238,296,47,584,970,2135,1554,366,360,283,230,230,141,846,39,35,183501
"Census Tract 1835.02, Cuyahoga County, Ohio",54,0,24,0,30,2462,5,27,179,313,83,625,1230,2430,1855,336,336,275,505,504,415,907,39,35,183502
"Census Tract 1836.03, Cuyahoga County, Ohio",79,0,39,22,18,886,35,53,175,199,115,283,26,798,309,52,44,0,273,243,191,366,39,35,183603
"Census Tract 1836.04, Cuyahoga County, Ohio",226,45,67,86,28,1524,22,92,214,309,124,481,282,1410,763,392,384,260,172,152,56,506,39,35,183604
"Census Tract 1836.05, Cuyahoga County, Ohio",168,18,64,75,11,1596,0,25,233,210,162,380,586,1571,966,260,260,196,306,306,244,507,39,35,183605
"Census Tract 1836.06, Cuyahoga County, Ohio",83,14,38,26,5,1131,0,8,99,145,100,272,507,1123,779,350,350,285,202,202,125,387,39,35,183606
"Census Tract 1841.03, Cuyahoga County, Ohio",270,8,50,133,79,3193,316,17,219,433,177,1081,950,2860,2031,149,149,130,931,615,582,1391,39,35,184103
"Census Tract 1841.04, Cuyahoga County, Ohio",102,53,8,27,14,1264,14,19,231,171,121,355,353,1231,708,109,109,66,223,217,183,442,39,35,184104
"Census Tract 1841.05, Cuyahoga County, Ohio",269,19,68,139,43,2781,0,35,424,324,171,919,908,2746,1827,486,486,302,631,631,481,1198,39,35,184105
"Census Tract 1841.06, Cuyahoga County, Ohio",84,7,10,47,20,1489,96,27,272,259,150,425,260,1366,685,189,189,77,287,276,165,607,39,35,184106
"Census Tract 1841.08, Cuyahoga County, Ohio",334,33,67,107,127,5014,48,160,780,607,155,1770,1494,4806,3264,247,247,157,876,876,685,2428,39,35,184108
"Census Tract 1851.01, Cuyahoga County, Ohio",438,64,133,214,27,1829,2,137,332,588,191,377,202,1690,579,386,383,95,302,256,183,692,39,35,185101
"Census Tract 1851.02, Cuyahoga County, Ohio",174,66,27,81,0,1912,7,39,723,500,185,228,230,1866,458,360,360,19,322,322,153,934,39,35,185102
"Census Tract 1851.03, Cuyahoga County, Ohio",233,18,112,85,18,1421,14,54,319,307,172,349,206,1353,555,184,184,94,303,294,114,629,39,35,185103
"Census Tract 1851.04, Cuyahoga County, Ohio",198,33,61,59,45,2563,43,29,471,505,199,790,526,2491,1316,389,389,158,482,462,264,1044,39,35,185104
"Census Tract 1852.01, Cuyahoga County, Ohio",575,0,224,265,86,1100,0,22,263,345,102,222,146,1078,368,216,216,85,213,213,54,428,39,35,185201
"Census Tract 1852.02, Cuyahoga County, Ohio",400,8,155,198,39,2932,0,136,728,531,197,732,608,2796,1340,535,462,205,957,957,473,968,39,35,185202
"Census Tract 1852.03, Cuyahoga County, Ohio",1016,4,309,603,100,2094,127,42,337,354,69,648,517,1925,1165,446,391,368,369,300,153,711,39,35,185203
"Census Tract 1861.03, Cuyahoga County, Ohio",145,62,38,35,10,3505,43,58,837,599,266,998,704,3404,1702,323,323,254,512,502,402,1421,39,35,186103
"Census Tract 1861.04, Cuyahoga County, Ohio",145,8,48,80,9,1957,9,52,427,214,113,669,473,1896,1142,284,284,212,303,285,246,813,39,35,186104
"Census Tract 1861.05, Cuyahoga County, Ohio",166,8,9,119,30,2848,20,79,849,454,264,791,391,2749,1182,327,290,132,395,385,268,1105,39,35,186105
"Census Tract 1861.06, Cuyahoga County, Ohio",386,0,116,241,29,3736,112,55,1009,801,202,1188,369,3569,1557,1043,1024,412,563,529,355,1052,39,35,186106
"Census Tract 1861.07, Cuyahoga County, Ohio",456,43,150,199,64,4861,165,62,1071,1017,408,1278,860,4634,2138,734,734,493,473,473,382,2159,39,35,186107
"Census Tract 1862.01, Cuyahoga County, Ohio",280,24,90,115,51,3906,26,136,977,769,315,1072,611,3744,1683,659,659,338,516,504,267,1612,39,35,186201
"Census Tract 1862.02, Cuyahoga County, Ohio",217,45,76,47,49,3047,15,10,415,600,244,989,774,3022,1763,310,310,231,585,585,476,1140,39,35,186202
"Census Tract 1862.03, Cuyahoga County, Ohio",185,28,22,129,6,2661,20,34,506,617,219,803,462,2607,1265,360,360,199,413,413,276,1097,39,35,186203
"Census Tract 1862.05, Cuyahoga County, Ohio",412,72,188,71,81,3712,56,62,638,716,366,1183,691,3594,1874,482,482,285,603,594,438,1671,39,35,186205
"Census Tract 1862.06, Cuyahoga County, Ohio",286,12,73,134,67,2785,30,137,416,350,131,1173,548,2618,1721,318,300,237,438,438,333,1359,39,35,186206
"Census Tract 1871.03, Cuyahoga County, Ohio",281,0,95,84,102,2028,15,64,298,528,167,552,404,1949,956,496,470,321,504,501,204,677,39,35,187103
"Census Tract 1871.04, Cuyahoga County, Ohio",237,0,7,170,60,1972,15,22,137,239,161,631,767,1935,1398,532,532,404,391,391,281,723,39,35,187104
"Census Tract 1871.05, Cuyahoga County, Ohio",1464,35,479,842,108,1227,83,25,52,77,53,460,477,1119,937,224,214,197,173,170,156,492,39,35,187105
"Census Tract 1871.06, Cuyahoga County, Ohio",817,23,260,492,42,1978,83,41,236,195,225,580,618,1854,1198,610,601,430,405,364,220,519,39,35,187106
"Census Tract 1881.03, Cuyahoga County, Ohio",173,15,54,104,0,1793,38,38,609,423,155,315,215,1717,530,232,232,46,236,236,106,706,39,35,188103
"Census Tract 1881.06, Cuyahoga County, Ohio",191,14,86,86,5,1480,6,50,443,295,377,265,44,1424,309,214,208,62,265,265,149,492,39,35,188106
"Census Tract 1881.07, Cuyahoga County, Ohio",263,24,112,127,0,1598,16,146,552,449,169,226,40,1436,266,557,535,145,415,365,74,319,39,35,188107
"Census Tract 1891.05, Cuyahoga County, Ohio",363,16,62,266,19,2555,68,36,469,492,196,908,386,2451,1294,328,318,153,258,258,171,1086,39,35,189105
"Census Tract 1891.07, Cuyahoga County, Ohio",311,1,86,205,19,3373,9,39,688,727,364,962,584,3325,1546,360,360,140,350,349,278,1713,39,35,189107
"Census Tract 1891.08, Cuyahoga County, Ohio",135,13,17,71,34,3512,79,110,690,442,196,863,1132,3323,1995,353,321,185,450,392,340,1424,39,35,189108
"Census Tract 1891.09, Cuyahoga County, Ohio",364,35,50,240,39,2617,33,51,740,344,289,804,356,2533,1160,432,432,149,249,249,148,1128,39,35,189109
"Census Tract 1891.10, Cuyahoga County, Ohio",437,14,18,140,265,3155,21,194,465,493,140,1392,450,2940,1842,791,791,602,402,402,235,1099,39,35,189110
"Census Tract 1891.11, Cuyahoga County, Ohio",261,0,75,33,153,5357,51,89,713,767,454,1716,1567,5217,3283,1109,1109,723,917,899,613,1743,39,35,189111
"Census Tract 1891.12, Cuyahoga County, Ohio",215,25,52,90,48,2926,18,35,383,402,269,1169,650,2873,1819,383,376,254,340,337,274,1346,39,35,189112
"Census Tract 1905.02, Cuyahoga County, Ohio",34,0,21,13,0,1824,30,96,808,339,79,318,154,1698,472,72,72,50,145,145,33,450,39,35,190502
"Census Tract 1905.03, Cuyahoga County, Ohio",91,13,19,47,12,1127,6,51,349,245,88,240,148,1070,388,134,130,67,157,148,30,461,39,35,190503
"Census Tract 1905.05, Cuyahoga County, Ohio",265,86,95,84,0,3569,0,48,478,567,182,956,1338,3521,2294,712,712,349,1107,1107,1047,1262,39,35,190505
"Census Tract 1905.06, Cuyahoga County, Ohio",391,0,139,198,54,3193,34,68,1057,987,112,646,289,3091,935,383,383,149,612,603,264,1293,39,35,190506
"Census Tract 1923, Cuyahoga County, Ohio",58,9,30,7,12,1111,6,32,417,265,60,207,124,1073,331,151,144,53,190,190,67,479,39,35,192300
"Census Tract 1928, Cuyahoga County, Ohio",28,3,3,19,3,1335,1,9,133,300,59,320,513,1325,833,143,143,40,86,86,52,542,39,35,192800
"Census Tract 1929, Cuyahoga County, Ohio",213,22,57,74,60,1504,10,25,527,261,154,341,186,1469,527,117,117,86,155,151,71,743,39,35,192900
"Census Tract 1941, Cuyahoga County, Ohio",76,0,22,50,4,1935,29,83,695,332,133,302,361,1823,663,141,128,19,171,165,43,980,39,35,194100
