NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_059E,S1501_C01_060E,S1501_C01_061E,S1501_C01_062E,S1501_C01_063E,S1501_C01_064E,state,county,tract
"Census Tract 14, Franklin County, Ohio",191,23,141,27,0,964,57,159,405,191,83,57,12,748,69,22788,22000,0,19191,30536,0,39,049,001400
"Census Tract 15, Franklin County, Ohio",184,37,97,50,0,1129,115,77,607,201,69,39,21,937,60,17908,19353,14766,0,0,0,39,049,001500
"Census Tract 16, Franklin County, Ohio",424,25,66,231,102,1421,31,79,204,301,76,378,352,1311,730,30287,11522,0,25625,37132,60776,39,049,001600
"Census Tract 17, Franklin County, Ohio",1551,46,203,852,450,1214,22,39,173,178,40,493,269,1153,762,35408,0,28400,33205,41250,37292,39,049,001700
"Census Tract 18.10, Franklin County, Ohio",2895,21,247,1645,982,1166,19,14,11,164,33,642,283,1133,925,23366,0,0,15625,30474,21108,39,049,001810
"Census Tract 18.20, Franklin County, Ohio",439,15,36,83,305,1766,0,1,178,190,94,739,564,1765,1303,44477,0,27107,36860,42273,60189,39,049,001820
"Census Tract 19.01, Franklin County, Ohio",459,0,11,28,420,2111,11,38,134,268,80,917,663,2062,1580,55897,0,44500,34556,66230,55758,39,049,001901
"Census Tract 19.02, Franklin County, Ohio",239,0,45,77,117,3939,54,43,278,352,153,1941,1118,3842,3059,47849,0,33561,26875,48574,59375,39,049,001902
"Census Tract 20, Franklin County, Ohio",271,0,30,51,190,2753,34,38,135,297,112,1236,901,2681,2137,58750,0,22301,31008,59391,81979,39,049,002000
"Census Tract 21, Franklin County, Ohio",341,0,0,112,229,1927,0,25,79,85,44,944,750,1902,1694,52815,0,0,35400,61422,51956,39,049,002100
"Census Tract 22, Franklin County, Ohio",412,61,49,88,214,2676,0,95,91,220,81,1560,629,2581,2189,60833,0,29453,17429,62184,84245,39,049,002200
"Census Tract 23, Franklin County, Ohio",218,93,74,48,3,1037,21,256,450,162,41,77,30,760,107,28347,0,21667,35781,34671,0,39,049,002300
"Census Tract 25.10, Franklin County, Ohio",206,82,74,50,0,1892,60,282,575,474,120,232,149,1550,381,25265,0,20791,31513,55515,46125,39,049,002510
"Census Tract 25.20, Franklin County, Ohio",332,0,125,59,148,2064,58,106,447,522,190,378,363,1900,741,39766,26071,25855,30855,53185,48588,39,049,002520
"Census Tract 26, Franklin County, Ohio",321,208,81,32,0,2597,71,280,744,1180,82,126,114,2246,240,18859,0,16724,21156,0,36500,39,049,002600
"Census Tract 27.10, Franklin County, Ohio",422,31,131,238,22,1417,38,133,549,358,115,170,54,1246,224,28258,26250,24909,28484,32857,60804,39,049,002710
"Census Tract 27.30, Franklin County, Ohio",150,79,62,6,3,1516,33,148,699,358,145,70,63,1335,133,20318,20489,14402,35625,26016,25625,39,049,002730
"Census Tract 27.40, Franklin County, Ohio",72,15,22,27,8,2017,31,53,136,384,144,708,561,1933,1269,39226,0,12069,38106,44375,44375,39,049,002740
"Census Tract 27.50, Franklin County, Ohio",262,47,116,95,4,1228,80,120,488,258,154,99,29,1028,128,22314,15556,20851,23190,36012,42857,39,049,002750
"Census Tract 27.60, Franklin County, Ohio",247,30,70,129,18,3041,25,235,888,615,202,616,460,2781,1076,26772,0,22276,28924,41250,47448,39,049,002760
"Census Tract 27.70, Franklin County, Ohio",144,55,3,86,0,1384,117,70,553,411,65,97,71,1197,168,24219,21200,25451,26505,22438,18958,39,049,002770
"Census Tract 27.80, Franklin County, Ohio",29,0,10,0,19,2030,37,87,293,450,90,576,497,1906,1073,46745,0,35208,48281,53929,67625,39,049,002780
"Census Tract 28, Franklin County, Ohio",86,0,22,56,8,1590,57,85,531,491,156,222,48,1448,270,31593,0,16356,0,42647,48929,39,049,002800
"Census Tract 29, Franklin County, Ohio",232,53,98,75,6,1468,68,248,633,309,120,7,83,1152,90,15608,0,15777,0,0,0,39,049,002900
"Census Tract 30, Franklin County, Ohio",799,6,78,429,286,2132,0,104,281,233,64,873,577,2028,1450,60028,2499,60389,0,55365,92813,39,049,003000
"Census Tract 32, Franklin County, Ohio",343,0,7,7,329,2534,18,85,106,166,71,1336,752,2431,2088,54933,0,0,42198,55163,72902,39,049,003200
"Census Tract 36, Franklin County, Ohio",180,6,0,84,90,1499,48,96,288,487,143,270,167,1355,437,44281,43707,18828,34063,50455,79167,39,049,003600
"Census Tract 37, Franklin County, Ohio",136,26,57,34,19,2563,27,170,435,545,255,756,375,2366,1131,42762,35662,35040,30145,44957,84702,39,049,003700
"Census Tract 38, Franklin County, Ohio",184,0,12,82,90,1868,0,149,322,267,159,466,505,1719,971,54032,55848,0,36250,72969,62090,39,049,003800
"Census Tract 40.01, Franklin County, Ohio",512,0,35,222,255,1057,0,0,130,272,28,365,262,1057,627,26941,0,15378,25577,35089,0,39,049,004001
"Census Tract 40.02, Franklin County, Ohio",216,0,0,0,216,1571,0,183,186,225,100,459,418,1388,877,62692,0,0,0,67660,105208,39,049,004002
"Census Tract 42, Franklin County, Ohio",8,0,0,6,2,349,7,55,131,47,29,65,15,287,80,28571,0,30833,0,83026,0,39,049,004200
"Census Tract 43.01, Franklin County, Ohio",762,0,17,61,684,2270,0,12,95,293,62,1050,758,2258,1808,60179,0,0,60234,51850,75368,39,049,004301
"Census Tract 43.02, Franklin County, Ohio",122,104,0,18,0,1379,108,398,463,178,137,95,0,873,95,19225,0,21497,35729,0,0,39,049,004302
"Census Tract 12, Franklin County, Ohio",3376,34,535,2499,308,442,13,18,36,67,7,182,119,411,301,26389,0,0,20571,40147,52500,39,049,001200
"Census Tract 45, Franklin County, Ohio",486,184,229,56,17,4134,163,815,1235,768,312,674,167,3156,841,26307,15625,25938,34434,25903,2499,39,049,004500
"Census Tract 46.10, Franklin County, Ohio",228,110,40,78,0,2879,172,211,623,522,229,660,462,2496,1122,44198,0,42679,40347,52250,63125,39,049,004610
"Census Tract 46.20, Franklin County, Ohio",181,55,102,19,5,1725,109,335,733,241,81,164,62,1281,226,28807,0,28269,31250,29750,38500,39,049,004620
"Census Tract 47, Franklin County, Ohio",749,221,436,78,14,3115,329,538,1313,559,193,108,75,2248,183,27155,22949,27188,31598,0,36890,39,049,004700
"Census Tract 48.10, Franklin County, Ohio",205,83,70,41,11,2203,86,285,806,408,212,272,134,1832,406,38589,22992,30813,40448,44667,0,39,049,004810
"Census Tract 48.20, Franklin County, Ohio",252,102,103,40,7,1495,110,289,546,276,85,150,39,1096,189,31264,33393,28304,30385,35000,45268,39,049,004820
"Census Tract 49, Franklin County, Ohio",338,94,179,65,0,3460,219,757,1229,640,322,239,54,2484,293,28271,29150,0,0,104389,36200,39,049,004900
"Census Tract 50.01, Franklin County, Ohio",201,36,45,105,15,1343,50,220,563,249,29,168,64,1073,232,31250,0,30089,33750,27005,51154,39,049,005001
"Census Tract 50.02, Franklin County, Ohio",387,269,65,53,0,2399,123,1059,725,254,90,121,27,1217,148,30582,33550,30854,16528,51354,160625,39,049,005002
"Census Tract 51, Franklin County, Ohio",276,75,179,22,0,1166,73,268,643,112,43,27,0,825,27,20979,15625,22404,20500,0,0,39,049,005100
"Census Tract 2004, Lake County, Ohio",487,20,237,172,58,2504,27,205,799,729,258,346,140,2272,486,32024,27875,35962,31341,45972,42500,39,085,200400
"Census Tract 2005, Lake County, Ohio",368,15,81,272,0,2115,27,85,904,432,154,329,184,2003,513,52581,18173,43276,54333,65500,69844,39,085,200500
"Census Tract 2006, Lake County, Ohio",353,36,151,106,60,2484,18,139,758,720,256,429,164,2327,593,42614,63182,35587,39240,60354,56250,39,085,200600
"Census Tract 2007, Lake County, Ohio",265,11,68,144,42,2708,111,96,914,606,384,404,193,2501,597,40057,0,34195,36830,48188,51333,39,085,200700
"Census Tract 2008, Lake County, Ohio",348,0,77,219,52,2550,34,105,918,601,233,421,238,2411,659,40375,0,33363,40000,53109,78370,39,085,200800
"Census Tract 2009, Lake County, Ohio",262,11,87,141,23,1336,0,80,452,271,90,349,94,1256,443,40361,0,29196,30156,51102,0,39,085,200900
"Census Tract 2010, Lake County, Ohio",590,57,15,460,58,3612,128,128,758,776,362,891,569,3356,1460,38065,71141,24324,31853,37893,49808,39,085,201000
"Census Tract 2011.01, Lake County, Ohio",61,0,0,22,39,1391,0,17,427,212,177,228,330,1374,558,43932,0,43070,34953,82589,44413,39,085,201101
"Census Tract 2011.02, Lake County, Ohio",73,0,33,40,0,2386,46,112,326,513,230,515,644,2228,1159,70395,0,61250,33712,102847,72596,39,085,201102
"Census Tract 2012, Lake County, Ohio",173,10,42,80,41,2922,76,114,1050,729,185,482,286,2732,768,31750,56250,22893,26635,42500,85530,39,085,201200
"Census Tract 2013, Lake County, Ohio",136,10,19,71,36,3008,18,112,979,749,176,632,342,2878,974,48393,0,31615,53090,52639,69444,39,085,201300
"Census Tract 2014, Lake County, Ohio",226,48,28,100,50,2744,16,96,631,585,234,826,356,2632,1182,47083,0,33828,43036,51797,66023,39,085,201400
"Census Tract 2015, Lake County, Ohio",200,6,77,49,68,1753,49,65,394,353,221,389,282,1639,671,53125,48750,43493,44330,56250,84034,39,085,201500
"Census Tract 2016, Lake County, Ohio",245,0,81,76,88,2422,44,65,618,462,238,738,257,2313,995,53772,37708,36406,41438,80045,64444,39,085,201600
"Census Tract 2017, Lake County, Ohio",455,46,154,243,12,4470,0,333,1559,1175,584,668,151,4137,819,37209,25909,33705,36784,47232,66553,39,085,201700
"Census Tract 2018, Lake County, Ohio",439,50,195,179,15,2600,13,141,1002,589,267,404,184,2446,588,45137,0,45491,38438,50675,78162,39,085,201800
"Census Tract 2019, Lake County, Ohio",130,41,42,47,0,2270,57,61,890,613,166,338,145,2152,483,40965,32375,33795,50476,0,90938,39,085,201900
"Census Tract 2020, Lake County, Ohio",559,29,150,307,73,3774,154,175,1578,978,178,467,244,3445,711,42763,39258,35823,33605,61233,73920,39,085,202000
"Census Tract 2021, Lake County, Ohio",305,0,71,223,11,1681,89,126,707,472,108,117,62,1466,179,34948,32647,31657,35397,37909,60139,39,085,202100
"Census Tract 2024, Lake County, Ohio",279,23,88,157,11,2331,53,123,815,665,171,344,160,2155,504,41599,14271,40122,44167,50900,73214,39,085,202400
"Census Tract 2025, Lake County, Ohio",372,0,181,112,79,3099,9,161,1184,716,273,575,181,2929,756,47708,0,49339,37635,42205,71075,39,085,202500
"Census Tract 2026, Lake County, Ohio",337,157,133,37,10,2655,34,259,1228,556,203,257,118,2362,375,38208,42083,37675,34816,40455,75893,39,085,202600
"Census Tract 2027, Lake County, Ohio",515,37,239,200,39,4607,14,157,984,957,456,968,1071,4436,2039,62951,0,48457,55000,86875,80660,39,085,202700
"Census Tract 2028, Lake County, Ohio",298,77,111,70,40,4565,113,359,1458,913,440,880,402,4093,1282,43483,15893,36639,39917,71389,67868,39,085,202800
"Census Tract 2029.01, Lake County, Ohio",377,37,140,111,89,3603,0,160,1180,791,311,913,248,3443,1161,64844,0,63750,54922,76711,132031,39,085,202901
"Census Tract 2029.02, Lake County, Ohio",116,22,21,52,21,1224,15,114,530,385,54,70,56,1095,126,41625,0,29458,45071,82583,0,39,085,202902
"Census Tract 2030, Lake County, Ohio",591,15,133,341,102,4458,48,276,1186,929,702,782,535,4134,1317,46901,30735,41288,46397,55458,64667,39,085,203000
