NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_059E,S1501_C01_060E,S1501_C01_061E,S1501_C01_062E,S1501_C01_063E,S1501_C01_064E,state,county,tract
"Census Tract 205, Washington County, Ohio",913,0,199,701,13,1089,7,163,393,185,73,112,156,919,268,30000,30000,19630,24643,61050,42321,39,167,020500
"Census Tract 208, Washington County, Ohio",325,32,75,166,52,2608,46,207,557,535,226,445,592,2355,1037,40923,0,22625,37536,55227,78227,39,167,020800
"Census Tract 209, Washington County, Ohio",59,19,16,24,0,1835,66,114,614,262,104,294,381,1655,675,17481,2499,16324,42375,0,0,39,167,020900
"Census Tract 210, Washington County, Ohio",362,9,264,89,0,2536,25,198,1029,537,189,275,283,2313,558,31392,0,27344,28021,70300,150807,39,167,021000
"Census Tract 211, Washington County, Ohio",291,58,142,80,11,3195,69,137,1366,732,354,397,140,2989,537,34932,0,30833,28750,51667,67143,39,167,021100
"Census Tract 212.01, Washington County, Ohio",272,38,52,182,0,2622,77,367,1298,492,184,140,64,2178,204,32479,0,32457,37969,26921,42273,39,167,021201
"Census Tract 212.02, Washington County, Ohio",112,0,58,31,23,1205,12,188,611,159,159,65,11,1005,76,32756,0,28903,37434,0,0,39,167,021202
"Census Tract 213, Washington County, Ohio",228,32,92,88,16,3768,108,162,1846,796,391,309,156,3498,465,28698,19943,25730,33277,37404,56083,39,167,021300
"Census Tract 214, Washington County, Ohio",317,20,39,255,3,2816,16,86,905,697,400,407,305,2714,712,40125,0,31423,38125,50536,68750,39,167,021400
"Census Tract 215, Washington County, Ohio",74,6,35,23,10,1015,16,95,285,267,133,139,80,904,219,40349,0,16277,42167,46250,52083,39,167,021500
"Census Tract 216, Washington County, Ohio",209,31,100,78,0,2696,7,96,1599,375,265,272,82,2593,354,39804,38542,41629,26250,44009,0,39,167,021600
"Census Tract 217, Washington County, Ohio",517,200,214,79,24,3912,113,310,1548,1045,443,258,195,3489,453,39464,47109,27435,39173,44632,76250,39,167,021700
"Census Tract 1, Wayne County, Ohio",682,17,181,454,30,2453,5,180,790,666,209,325,278,2268,603,31633,26086,29345,31762,26048,69688,39,169,000100
"Census Tract 2, Wayne County, Ohio",164,4,66,36,58,2395,2,68,633,377,132,454,729,2325,1183,49009,0,37264,45000,59559,63317,39,169,000200
"Census Tract 3, Wayne County, Ohio",451,0,70,347,34,1694,16,63,516,365,67,325,342,1615,667,31306,0,17286,29898,41797,60577,39,169,000300
"Census Tract 5, Wayne County, Ohio",1203,29,390,739,45,2138,19,102,905,568,96,256,192,2017,448,31014,0,30179,33125,31848,0,39,169,000500
"Census Tract 6, Wayne County, Ohio",302,81,178,43,0,4038,146,233,1442,810,332,665,410,3659,1075,32109,30202,26591,30152,49080,38235,39,169,000600
"Census Tract 7, Wayne County, Ohio",484,61,49,292,82,4910,21,162,1730,896,412,1021,668,4727,1689,41082,0,31894,28380,64719,71625,39,169,000700
"Census Tract 8, Wayne County, Ohio",479,61,312,89,17,5625,166,155,2743,965,504,711,381,5304,1092,39248,65469,33950,36719,68859,76518,39,169,000800
"Census Tract 9, Wayne County, Ohio",335,45,79,164,47,2809,36,210,1110,537,239,486,191,2563,677,39409,53750,36141,37476,45489,40500,39,169,000900
"Census Tract 10, Wayne County, Ohio",356,57,122,126,51,1872,60,58,824,307,104,327,192,1754,519,44128,0,26995,58348,55063,49167,39,169,001000
"Census Tract 11, Wayne County, Ohio",145,25,26,69,25,986,14,4,384,225,130,139,90,968,229,40417,0,32583,43750,43214,85417,39,169,001100
"Census Tract 12, Wayne County, Ohio",91,12,37,19,23,821,26,101,394,81,117,85,17,694,102,26474,0,22095,29408,26172,0,39,169,001200
"Census Tract 13, Wayne County, Ohio",271,68,106,97,0,2806,51,176,1162,492,225,496,204,2579,700,38103,34596,34271,37029,46726,67344,39,169,001300
"Census Tract 14, Wayne County, Ohio",274,122,70,73,9,1818,362,234,709,143,98,207,65,1222,272,34599,50983,26731,25250,0,0,39,169,001400
"Census Tract 17, Wayne County, Ohio",698,521,101,53,23,3742,2274,270,671,196,68,136,127,1198,263,40018,41612,34514,38750,41094,0,39,169,001700
"Census Tract 18, Wayne County, Ohio",283,101,49,121,12,2616,496,42,1063,380,154,265,216,2078,481,35972,37013,33688,32120,41538,48889,39,169,001800
"Census Tract 19, Wayne County, Ohio",187,37,100,46,4,2155,110,220,974,461,147,165,78,1825,243,40440,36625,36016,41122,48646,60179,39,169,001900
"Census Tract 20, Wayne County, Ohio",156,34,35,82,5,2215,66,143,1095,337,173,262,139,2006,401,42774,28750,34590,44447,51250,44091,39,169,002000
"Census Tract 21, Wayne County, Ohio",245,0,99,122,24,1990,49,168,701,526,176,233,137,1773,370,41791,34167,34375,45904,67778,57750,39,169,002100
"Census Tract 22, Wayne County, Ohio",321,79,129,86,27,2614,65,132,1284,528,155,341,109,2417,450,41380,0,40731,38648,63409,65807,39,169,002200
"Census Tract 23, Wayne County, Ohio",202,10,80,112,0,1934,23,119,719,401,127,418,127,1792,545,43617,34125,38938,36250,81528,65625,39,169,002300
"Census Tract 24, Wayne County, Ohio",131,19,91,21,0,2442,44,168,1196,508,199,244,83,2230,327,37679,44286,32663,44766,38182,56875,39,169,002400
"Census Tract 25, Wayne County, Ohio",180,44,88,28,20,1866,53,63,934,303,177,218,118,1750,336,36378,52727,36283,30929,41250,53500,39,169,002500
"Census Tract 29.01, Wayne County, Ohio",195,14,88,86,7,2242,63,136,851,490,109,354,239,2043,593,38919,30152,24954,44135,52228,49028,39,169,002901
"Census Tract 29.02, Wayne County, Ohio",447,46,158,195,48,4229,15,103,1698,700,505,846,362,4111,1208,42173,0,37750,26292,54615,113576,39,169,002902
