NAME,B01003_001E,B11005_001E,B11005_002E,B11005_012E,B11005_017E,B06010_002E,B06010_003E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,state,county,tract
"Census Tract 323, Fairfield County, Ohio",4088.0,1803.0,365.0,649.0,789.0,312.0,3313.0,693.0,409.0,599.0,433.0,439.0,450.0,99.0,191.0,39,045,032300
"Census Tract 325.01, Fairfield County, Ohio",3269.0,1170.0,334.0,572.0,264.0,233.0,2430.0,404.0,231.0,346.0,342.0,333.0,254.0,113.0,407.0,39,045,032501
"Census Tract 325.02, Fairfield County, Ohio",3113.0,682.0,166.0,402.0,114.0,1141.0,1749.0,530.0,116.0,231.0,161.0,246.0,212.0,96.0,157.0,39,045,032502
"Census Tract 326.01, Fairfield County, Ohio",3588.0,1217.0,514.0,413.0,290.0,533.0,2489.0,306.0,91.0,367.0,419.0,393.0,218.0,198.0,497.0,39,045,032601
"Census Tract 326.02, Fairfield County, Ohio",3375.0,1249.0,392.0,646.0,211.0,293.0,2499.0,347.0,203.0,312.0,439.0,437.0,220.0,147.0,394.0,39,045,032602
"Census Tract 327.01, Fairfield County, Ohio",4591.0,1660.0,727.0,534.0,399.0,486.0,3307.0,378.0,272.0,368.0,592.0,387.0,589.0,210.0,511.0,39,045,032701
"Census Tract 327.03, Fairfield County, Ohio",3784.0,984.0,580.0,267.0,137.0,525.0,2403.0,382.0,228.0,212.0,426.0,373.0,290.0,103.0,389.0,39,045,032703
"Census Tract 327.04, Fairfield County, Ohio",4229.0,1852.0,689.0,132.0,1031.0,409.0,2689.0,549.0,155.0,557.0,553.0,518.0,245.0,37.0,75.0,39,045,032704
"Census Tract 328, Fairfield County, Ohio",4341.0,1468.0,652.0,592.0,224.0,350.0,3155.0,499.0,92.0,258.0,269.0,518.0,300.0,260.0,959.0,39,045,032800
"Census Tract 329.01, Fairfield County, Ohio",5061.0,1726.0,714.0,613.0,399.0,245.0,3477.0,237.0,186.0,160.0,505.0,360.0,373.0,307.0,1349.0,39,045,032901
"Census Tract 329.02, Fairfield County, Ohio",6063.0,1770.0,859.0,737.0,174.0,777.0,3868.0,464.0,117.0,426.0,233.0,360.0,463.0,243.0,1562.0,39,045,032902
"Census Tract 330, Fairfield County, Ohio",4646.0,1710.0,515.0,823.0,372.0,329.0,3448.0,367.0,235.0,280.0,344.0,497.0,477.0,111.0,1137.0,39,045,033000
"Census Tract 331.01, Fairfield County, Ohio",4159.0,1536.0,567.0,537.0,432.0,306.0,2952.0,413.0,233.0,305.0,355.0,512.0,313.0,135.0,686.0,39,045,033101
"Census Tract 331.02, Fairfield County, Ohio",4936.0,1897.0,722.0,691.0,484.0,572.0,3273.0,391.0,102.0,425.0,557.0,384.0,418.0,153.0,843.0,39,045,033102
"Census Tract 9258, Fayette County, Ohio",3545.0,1391.0,443.0,605.0,343.0,292.0,2568.0,448.0,248.0,309.0,348.0,558.0,231.0,131.0,295.0,39,047,925800
"Census Tract 9259, Fayette County, Ohio",3321.0,1435.0,420.0,707.0,308.0,296.0,2523.0,435.0,194.0,586.0,385.0,413.0,224.0,65.0,221.0,39,047,925900
"Census Tract 9260, Fayette County, Ohio",3719.0,1575.0,403.0,518.0,654.0,357.0,2862.0,765.0,295.0,459.0,507.0,301.0,218.0,94.0,223.0,39,047,926000
