name,formatted_address,rating,user_ratings_total,latitude,longitude
Whole Foods Market,"11041 Westheimer Rd, Houston, TX 77042, United States",4.3,1711,29.7348965,-95.5706292
Whole Foods Market,"4004 Bellaire Blvd, Houston, TX 77025, United States",4.3,1481,29.70684919999999,-95.4414798
Whole Foods Market,"1407 S Voss Rd, Houston, TX 77057, United States",4.3,855,29.7523834,-95.4999858
Whole Foods Market,"5001 183A Bldg A Ste 100, Cedar Park, TX 78613, United States",4.3,1147,30.5356323,-97.8176705
Whole Foods Market,"6741 N MacArthur Blvd, Irving, TX 75039, United States",4.4,2269,32.9013104,-96.9602205
Whole Foods Market,"9607 Research Blvd #300, Austin, TX 78759, United States",4.4,1416,30.3893422,-97.7416415
Whole Foods Market,"10133 Louetta Rd, Houston, TX 77070, United States",4.4,1858,29.9984518,-95.5621151
Whole Foods Market,"12601 Hill Country Blvd, Bee Cave, TX 78738, United States",4.3,671,30.3076183,-97.9377502
Whole Foods Market,"2201 Preston Rd, Plano, TX 75093, United States",4.4,1964,33.0293286,-96.7969057
Whole Foods Market,"801 E Lamar Blvd, Arlington, TX 76011, United States",4.4,2509,32.7668998,-97.0990989
Whole Foods Market,"4100 Lomo Alto Dr, Highland Park, TX 75219, United States",4.4,1283,32.8206812,-96.8144897
Whole Foods Market,"18403 Blanco Rd, San Antonio, TX 78258, United States",4.4,1226,29.6131541,-98.5109131
Whole Foods Market,"901 E 5th St. Ste 100, Austin, TX 78702, United States",4.2,555,30.2644135,-97.7340387
Whole Foods Market,"701 Waugh Dr, Houston, TX 77019, United States",4.4,1960,29.7582397,-95.3976469
Whole Foods Market,"1925 Hughes Landing Blvd Ste 100, The Woodlands, TX 77380, United States",4.4,2116,30.1694054,-95.47099190000002
Whole Foods Market,"2955 Kirby Dr, Houston, TX 77098, United States",4.4,1671,29.7395184,-95.4180918
Whole Foods Market,"8190 Park Ln N Ste 351, Dallas, TX 75231, United States",4.4,1371,32.8680816,-96.76794590000002
Whole Foods Market,"4801 Colleyville Blvd, Colleyville, TX 76034, United States",4.3,898,32.8791874,-97.1552062
Whole Foods Market,"4041 Waller Creek, Highland Village, TX 75077, United States",4.1,205,33.0727259,-97.0843394
Whole Foods Market,"6601 S Fry Rd, Katy, TX 77494, United States",4.4,1551,29.7124486,-95.7716437
Whole Foods Market,"3720 Vision Dr, Fort Worth, TX 76109, United States",4.4,1380,32.700038,-97.4129749
Whole Foods Market,"2510 McKinney Ave, Dallas, TX 75201, United States",4.5,1496,32.7959367,-96.8016409
Whole Foods Market,"105 Stacy Rd, Fairview, TX 75069, United States",4.4,1437,33.1310936,-96.6565457
Whole Foods Market,"7529 Corporate Blvd, Baton Rouge, LA 70809, United States",4.5,1657,30.4323171,-91.1112209
Whole Foods Market,"5100 Belt Line Rd Suite 1012, Addison, TX 75254, United States",4.4,1681,32.9531268,-96.8209504
Whole Foods Market,"11700 Preston Rd Suite 714, Dallas, TX 75230, United States",4.4,662,32.9075959,-96.8032118
Whole Foods Market,"4247 Ambassador Caffery Pkwy, Lafayette, LA 70508, United States",4.4,1063,30.1610967,-92.0517389
Whole Foods Market,"300 N Broad St, New Orleans, LA 70119, United States",4.3,1924,29.9674162,-90.0847287
Whole Foods Market,"5600 Magazine St, New Orleans, LA 70115, United States",4.4,1319,29.921098,-90.1174555
Whole Foods Market,"3450 U.S. Hwy 190, Mandeville, LA 70471, United States",4.3,981,30.3907271,-90.0858504
Whole Foods Market,"201 38th Ave N, St. Petersburg, FL 33704, United States",4.2,195,27.8087158,-82.6361105
Whole Foods Market,"27001 US Hwy 19 N, Clearwater, FL 33761, United States",4.4,2263,28.0168045,-82.7358533
Whole Foods Market,"4402 Legendary Dr, Destin, FL 32541, United States",4.4,1684,30.3903014,-86.4202985
Whole Foods Market,"3802 Northdale Blvd, Tampa, FL 33624, United States",4.5,1914,28.0930314,-82.50419939999999
Whole Foods Market,"7930 SW 104th St, Miami, FL 33156, United States",4.6,1618,25.6733129,-80.323317
Whole Foods Market,"3740 Midtown Dr, Tampa, FL 33607, United States",4.5,2395,27.9528728,-82.5048529
Whole Foods Market,"9101 Strada Pl, Naples, FL 34108, United States",4.4,1315,26.2546431,-81.79995029999999
Whole Foods Market,"21105 Biscayne Blvd, Aventura, FL 33180, United States",4.4,2400,25.9712665,-80.14067770000001
Whole Foods Market,"8003 Turkey Lake Rd Phillips Crossing, Orlando, FL 32819, United States",4.5,4590,28.449094,-81.4765573
Whole Foods Market,"299 SE 3rd Ave, Miami, FL 33131, United States",4.5,4374,25.7719548,-80.1891315
Whole Foods Market,"1903 S University Dr, Davie, FL 33324, United States",4.5,3216,26.0965814,-80.2519087
Whole Foods Market,"2635 FL-7, Wellington, FL 33414, United States",4.5,1562,26.641296,-80.2061986
Whole Foods Market,"3100 Cahaba Village Pl, Birmingham, AL 35243, United States",4.4,1584,33.4599949,-86.7525584
Whole Foods Market,"1555 Church St, Decatur, GA 30033, United States",4.3,1273,33.792553,-84.28428439999999
