B01003_001E,NAME,state,county,tract
2711,"Census Tract 4, Jefferson County, Ohio",39,081,000400
2187,"Census Tract 6, Jefferson County, Ohio",39,081,000600
2317,"Census Tract 10, Jefferson County, Ohio",39,081,001000
4823,"Census Tract 12, Jefferson County, Ohio",39,081,001200
1285,"Census Tract 13, Jefferson County, Ohio",39,081,001300
3399,"Census Tract 14, Jefferson County, Ohio",39,081,001400
1785,"Census Tract 110, Jefferson County, Ohio",39,081,011000
2786,"Census Tract 111, Jefferson County, Ohio",39,081,011100
2317,"Census Tract 112, Jefferson County, Ohio",39,081,011200
2464,"Census Tract 113, Jefferson County, Ohio",39,081,011300
3772,"Census Tract 114.01, Jefferson County, Ohio",39,081,011401
3833,"Census Tract 114.02, Jefferson County, Ohio",39,081,011402
4958,"Census Tract 115, Jefferson County, Ohio",39,081,011500
4398,"Census Tract 117, Jefferson County, Ohio",39,081,011700
3456,"Census Tract 118, Jefferson County, Ohio",39,081,011800
3490,"Census Tract 119, Jefferson County, Ohio",39,081,011900
3049,"Census Tract 120, Jefferson County, Ohio",39,081,012000
2649,"Census Tract 121, Jefferson County, Ohio",39,081,012100
1849,"Census Tract 122, Jefferson County, Ohio",39,081,012200
2243,"Census Tract 123, Jefferson County, Ohio",39,081,012300
2884,"Census Tract 124, Jefferson County, Ohio",39,081,012400
5337,"Census Tract 67, Knox County, Ohio",39,083,006700
5668,"Census Tract 68.01, Knox County, Ohio",39,083,006801
4638,"Census Tract 68.02, Knox County, Ohio",39,083,006802
5160,"Census Tract 69, Knox County, Ohio",39,083,006900
3224,"Census Tract 70, Knox County, Ohio",39,083,007000
3565,"Census Tract 71, Knox County, Ohio",39,083,007100
4821,"Census Tract 72, Knox County, Ohio",39,083,007200
3210,"Census Tract 73.01, Knox County, Ohio",39,083,007301
3523,"Census Tract 73.02, Knox County, Ohio",39,083,007302
6198,"Census Tract 74, Knox County, Ohio",39,083,007400
4161,"Census Tract 75, Knox County, Ohio",39,083,007500
5186,"Census Tract 76, Knox County, Ohio",39,083,007600
3407,"Census Tract 77.01, Knox County, Ohio",39,083,007701
3678,"Census Tract 77.02, Knox County, Ohio",39,083,007702
1784,"Census Tract 2001, Lake County, Ohio",39,085,200100
2441,"Census Tract 2002, Lake County, Ohio",39,085,200200
3263,"Census Tract 2003, Lake County, Ohio",39,085,200300
4525,"Census Tract 1102.01, Montgomery County, Ohio",39,113,110201
3342,"Census Tract 1102.02, Montgomery County, Ohio",39,113,110202
4102,"Census Tract 1150.02, Montgomery County, Ohio",39,113,115002
5113,"Census Tract 1150.11, Montgomery County, Ohio",39,113,115011
5436,"Census Tract 1150.12, Montgomery County, Ohio",39,113,115012
4994,"Census Tract 1201.01, Montgomery County, Ohio",39,113,120101
4847,"Census Tract 1201.02, Montgomery County, Ohio",39,113,120102
3017,"Census Tract 1201.03, Montgomery County, Ohio",39,113,120103
6313,"Census Tract 1250, Montgomery County, Ohio",39,113,125000
6001,"Census Tract 1251.02, Montgomery County, Ohio",39,113,125102
2793,"Census Tract 1251.03, Montgomery County, Ohio",39,113,125103
4920,"Census Tract 1251.04, Montgomery County, Ohio",39,113,125104
2608,"Census Tract 1301.01, Montgomery County, Ohio",39,113,130101
6268,"Census Tract 1301.02, Montgomery County, Ohio",39,113,130102
5976,"Census Tract 1401, Montgomery County, Ohio",39,113,140100
6313,"Census Tract 1501, Montgomery County, Ohio",39,113,150100
2136,"Census Tract 1601, Montgomery County, Ohio",39,113,160100
6280,"Census Tract 1650, Montgomery County, Ohio",39,113,165000
2488,"Census Tract 1651, Montgomery County, Ohio",39,113,165100
1579,"Census Tract 1652, Montgomery County, Ohio",39,113,165200
0,"Census Tract 9800, Montgomery County, Ohio",39,113,980000
2979,"Census Tract 9688, Morgan County, Ohio",39,115,968800
4136,"Census Tract 9689, Morgan County, Ohio",39,115,968900
3852,"Census Tract 9690, Morgan County, Ohio",39,115,969000
3590,"Census Tract 9691, Morgan County, Ohio",39,115,969100
4282,"Census Tract 9650, Morrow County, Ohio",39,117,965000
5984,"Census Tract 9651, Morrow County, Ohio",39,117,965100
5460,"Census Tract 9652.01, Morrow County, Ohio",39,117,965201
1706,"Census Tract 9652.02, Morrow County, Ohio",39,117,965202
6183,"Census Tract 9653, Morrow County, Ohio",39,117,965300
2399,"Census Tract 9654.01, Morrow County, Ohio",39,117,965401
3723,"Census Tract 9654.02, Morrow County, Ohio",39,117,965402
3102,"Census Tract 9655.01, Morrow County, Ohio",39,117,965501
2309,"Census Tract 9655.02, Morrow County, Ohio",39,117,965502
4951,"Census Tract 9110, Muskingum County, Ohio",39,119,911000
5748,"Census Tract 9111, Muskingum County, Ohio",39,119,911100
2845,"Census Tract 9112.01, Muskingum County, Ohio",39,119,911201
3560,"Census Tract 9112.02, Muskingum County, Ohio",39,119,911202
6159,"Census Tract 9113, Muskingum County, Ohio",39,119,911300
3912,"Census Tract 9114, Muskingum County, Ohio",39,119,911400
4963,"Census Tract 9115, Muskingum County, Ohio",39,119,911500
