STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,unique_id,unique_id2,unique_id3,unique_id4,County,Concat_cou,Concat_c_1,Concat_c_2,Concat_c_3,Concat_c_4,Concat_c_5,Concat_c_6,Concat_c_7,Concat_c_8,Concat_c_9,Concat_c10,Concat_c11,Concat_c12,Concat_c13,Concat_c14,Concat_c15,Concat_c16,Concat_c17,Concat_c18,Concat_c19,Concat_c20,Concat_c21,Concat_c22,Concat_c23,Concat_c24,Concat_c25,Concat_c26,Concat_c27,TPop_Int,lat,long
"39","113","020602","39113020602","206.02",Census Tract 206.02,G5020,S,"1620216","0","+39.6757612","-084.1555720",113_020602,113_020602,,113_20602,Montgomery County,"Census Tract 206.02, Montgomery County, Ohio","91","7","68","0","16","1204","42","6","274","235","102","240","305","1156","545","207","203","132","126","124","76","493","39","113","20602","1706",113_20602,"1706",39.675761,-84.155572
"39","113","021800","39113021800","218",Census Tract 218,G5020,S,"913483","0","+39.6625025","-084.1315472",113_021800,113_021800,,113_21800,Montgomery County,"Census Tract 218, Montgomery County, Ohio","410","38","96","219","57","1148","0","32","283","326","148","219","140","1116","359","493","493","156","257","244","62","259","39","113","21800","2097",113_21800,"2097",39.662503,-84.131547
"39","113","002700","39113002700","27",Census Tract 27,G5020,S,"967771","0","+39.7444237","-084.1343728",113_002700,113_002700,,113_2700,Montgomery County,"Census Tract 27, Montgomery County, Ohio","211","11","147","41","12","1497","80","85","467","385","152","226","102","1332","328","376","325","67","193","171","61","530","39","113","2700","2132",113_2700,"2132",39.744424,-84.134373
"39","113","020500","39113020500","205",Census Tract 205,G5020,S,"803922","0","+39.6844616","-084.1636470",113_020500,113_020500,,113_20500,Montgomery County,"Census Tract 205, Montgomery County, Ohio","86","11","16","52","7","1084","10","25","274","260","221","161","133","1049","294","92","92","49","190","186","57","427","39","113","20500","1469",113_20500,"1469",39.684462,-84.163647
"39","035","102102","39035102102","1021.02",Census Tract 1021.02,G5020,S,"823034","0","+41.4517923","-081.7640987",035_102102,35_102102,,35_102102,Cuyahoga County,"Census Tract 1021.02, Cuyahoga County, Ohio","266","67","120","67","12","1738","134","180","541","456","184","177","66","1424","243","244","244","33","273","245","44","887","39","35","102102","2721",35_102102,"2721",41.451792,-81.764099
"39","035","102200","39035102200","1022",Census Tract 1022,G5020,S,"889240","0","+41.4576890","-081.7557750",035_102200,35_102200,,35_102200,Cuyahoga County,"Census Tract 1022, Cuyahoga County, Ohio","215","14","177","24","0","2047","176","215","549","472","166","319","150","1656","469","334","291","150","415","336","167","805","39","35","102200","3131",35_102200,"3131",41.457689,-81.755775
"39","035","102300","39035102300","1023",Census Tract 1023,G5020,S,"454665","0","+41.4620809","-081.7512284",035_102300,35_102300,,35_102300,Cuyahoga County,"Census Tract 1023, Cuyahoga County, Ohio","242","30","120","62","30","1109","96","256","364","220","73","65","35","757","100","188","153","29","293","157","29","410","39","35","102300","1925",35_102300,"1925",41.462081,-81.751228
"39","035","102700","39035102700","1027",Census Tract 1027,G5020,S,"1991456","0","+41.4678383","-081.7273468",035_102700,35_102700,,35_102700,Cuyahoga County,"Census Tract 1027, Cuyahoga County, Ohio","265","3","227","28","7","2400","204","217","844","545","139","382","69","1979","451","540","485","67","754","723","294","797","39","35","102700","3669",35_102700,"3669",41.467838,-81.727347
"39","035","102800","39035102800","1028",Census Tract 1028,G5020,S,"451380","0","+41.4660463","-081.7166492",035_102800,35_102800,,35_102800,Cuyahoga County,"Census Tract 1028, Cuyahoga County, Ohio","227","68","87","56","16","1093","117","210","406","314","0","43","3","766","46","150","116","15","285","205","26","480","39","35","102800","1787",35_102800,"1787",41.466046,-81.716649
"39","035","160200","39035160200","1602",Census Tract 1602,G5020,S,"491735","0","+41.4877825","-081.8164211",035_160200,35_160200,,35_160200,Cuyahoga County,"Census Tract 1602, Cuyahoga County, Ohio","103","28","15","12","48","1756","0","48","344","300","48","631","385","1708","1016","772","765","550","246","246","166","633","39","35","160200","2289",35_160200,"2289",41.487783,-81.816421
